Points_0,Points_1,Points_2,vel1,vel2
0,0.5,0,-1.20002e-05,0.00106367
0.00392157,0.5,0,-3.40767e-05,0.00126476
0.00784314,0.5,0,-8.11084e-05,0.00328905
0.0117647,0.5,0,-0.000150072,0.00348328
0.0156863,0.5,0,-0.000239757,0.00538111
0.0196078,0.5,0,-0.000350073,0.00557266
0.0235294,0.5,0,-0.000478899,0.00736609
0.027451,0.5,0,-0.000626775,0.00755538
0.0313726,0.5,0,-0.00079154,0.00925918
0.0352941,0.5,0,-0.000973761,0.00944647
0.0392157,0.5,0,-0.00117144,0.011071
0.0431373,0.5,0,-0.0013851,0.0112563
0.0470588,0.5,0,-0.00161289,0.0128094
0.0509804,0.5,0,-0.00185534,0.0129896
0.054902,0.5,0,-0.00211077,0.014481
0.0588235,0.5,0,-0.0023802,0.0146548
0.0627451,0.5,0,-0.00265682,0.0160115
0.0666667,0.5,0,-0.00295543,0.016436
0.0705882,0.5,0,-0.00326297,0.0174414
0.0745098,0.5,0,-0.00357758,0.0180124
0.0784314,0.5,0,-0.00390546,0.0189127
0.0823529,0.5,0,-0.00424314,0.0194912
0.0862745,0.5,0,-0.00459071,0.0203378
0.0901961,0.5,0,-0.00494773,0.0209076
0.0941176,0.5,0,-0.00531355,0.0217063
0.0980392,0.5,0,-0.00568833,0.0222635
0.101961,0.5,0,-0.0060713,0.0230174
0.105882,0.5,0,-0.00646246,0.0235599
0.109804,0.5,0,-0.00686119,0.0242711
0.113725,0.5,0,-0.00726742,0.0247975
0.117647,0.5,0,-0.00768072,0.0254674
0.121569,0.5,0,-0.00810092,0.0259765
0.12549,0.5,0,-0.00852752,0.0266063
0.129412,0.5,0,-0.00896057,0.0270975
0.133333,0.5,0,-0.00939943,0.0276882
0.137255,0.5,0,-0.00984415,0.0281611
0.141176,0.5,0,-0.0102942,0.0287135
0.145098,0.5,0,-0.0107495,0.0291682
0.14902,0.5,0,-0.01121,0.0296839
0.152941,0.5,0,-0.0116751,0.0301156
0.156863,0.5,0,-0.0121448,0.0305996
0.160784,0.5,0,-0.0126188,0.0310065
0.164706,0.5,0,-0.0130969,0.0314597
0.168627,0.5,0,-0.0135789,0.0318417
0.172549,0.5,0,-0.0140646,0.0322647
0.176471,0.5,0,-0.0145538,0.0326218
0.180392,0.5,0,-0.0150463,0.0330151
0.184314,0.5,0,-0.015542,0.0333475
0.188235,0.5,0,-0.0160406,0.0337115
0.192157,0.5,0,-0.0165421,0.0340193
0.196078,0.5,0,-0.0170463,0.0343546
0.2,0.5,0,-0.0175529,0.0346379
0.203922,0.5,0,-0.018062,0.034945
0.207843,0.5,0,-0.0185732,0.035204
0.211765,0.5,0,-0.0190866,0.0354833
0.215686,0.5,0,-0.0196019,0.0357183
0.219608,0.5,0,-0.0201191,0.0359703
0.223529,0.5,0,-0.020638,0.0361815
0.227451,0.5,0,-0.0211585,0.0364068
0.231373,0.5,0,-0.0216805,0.0365942
0.235294,0.5,0,-0.022204,0.0367932
0.239216,0.5,0,-0.0227287,0.0369573
0.243137,0.5,0,-0.0232547,0.0371306
0.247059,0.5,0,-0.0237819,0.0372715
0.25098,0.5,0,-0.0243102,0.0374194
0.254902,0.5,0,-0.0248394,0.0375374
0.258824,0.5,0,-0.0253696,0.0376604
0.262745,0.5,0,-0.0259007,0.0377558
0.266667,0.5,0,-0.0264326,0.0378543
0.270588,0.5,0,-0.0269652,0.0379275
0.27451,0.5,0,-0.0274986,0.0380018
0.278431,0.5,0,-0.0280327,0.038053
0.282353,0.5,0,-0.0285674,0.0381033
0.286275,0.5,0,-0.0291028,0.0381332
0.290196,0.5,0,-0.0296388,0.0381596
0.294118,0.5,0,-0.0301753,0.0381689
0.298039,0.5,0,-0.0307124,0.0381717
0.301961,0.5,0,-0.0312501,0.0381585
0.305882,0.5,0,-0.0317884,0.0381403
0.309804,0.5,0,-0.0323272,0.0381052
0.313726,0.5,0,-0.0328665,0.0380649
0.317647,0.5,0,-0.0334065,0.0380085
0.321569,0.5,0,-0.033947,0.0379463
0.32549,0.5,0,-0.0344881,0.0378688
0.329412,0.5,0,-0.0350298,0.0377849
0.333333,0.5,0,-0.0355722,0.0376865
0.337255,0.5,0,-0.0361153,0.0375809
