Points_0,Points_1,Points_2,vel1,vel2
0.5,0,0,-0.000226951,1.87729e-07
0.5,0.00392157,0,-0.000652445,8.69614e-07
0.5,0.00784314,0,-0.00108222,2.32409e-06
0.5,0.0117647,0,-0.00148558,4.42463e-06
0.5,0.0156863,0,-0.00189039,7.19262e-06
0.5,0.0196078,0,-0.00227497,1.05649e-05
0.5,0.0235294,0,-0.00266029,1.45335e-05
0.5,0.027451,0,-0.0030304,1.9076e-05
0.5,0.0313726,0,-0.00340114,2.41794e-05
0.5,0.0352941,0,-0.00376061,2.98373e-05
0.5,0.0392157,0,-0.00412091,3.60402e-05
0.5,0.0431373,0,-0.00447296,4.27896e-05
0.5,0.0470588,0,-0.00482626,5.00824e-05
0.5,0.0509804,0,-0.00517361,5.79253e-05
0.5,0.054902,0,-0.00552279,6.63227e-05
0.5,0.0588235,0,-0.00586773,7.52857e-05
0.5,0.0627451,0,-0.00621517,8.48279e-05
0.5,0.0666667,0,-0.00655963,9.4966e-05
0.5,0.0705882,0,-0.00690736,0.000105722
0.5,0.0745098,0,-0.00725311,0.000117116
0.5,0.0784314,0,-0.0076027,0.000129179
0.5,0.0823529,0,-0.00795121,0.000141937
0.5,0.0862745,0,-0.00830404,0.000155424
0.5,0.0901961,0,-0.00865662,0.000169672
0.5,0.0941176,0,-0.0090139,0.000184714
0.5,0.0980392,0,-0.00937166,0.000200589
0.5,0.101961,0,-0.00973446,0.000217331
0.5,0.105882,0,-0.0100984,0.000234981
0.5,0.109804,0,-0.0104677,0.00025358
0.5,0.113725,0,-0.0108387,0.000273173
0.5,0.117647,0,-0.0112153,0.000293805
0.5,0.121569,0,-0.0115942,0.000315527
0.5,0.12549,0,-0.0119789,0.000338392
0.5,0.129412,0,-0.0123665,0.000362455
0.5,0.133333,0,-0.01276,0.000387775
0.5,0.137255,0,-0.0131568,0.000414413
0.5,0.141176,0,-0.0135598,0.000442432
0.5,0.145098,0,-0.0139666,0.000471896
0.5,0.14902,0,-0.0143796,0.000502873
0.5,0.152941,0,-0.0147967,0.000535433
0.5,0.156863,0,-0.0152203,0.000569648
0.5,0.160784,0,-0.0156484,0.000605592
0.5,0.164706,0,-0.0160831,0.000643343
0.5,0.168627,0,-0.0165226,0.000682983
0.5,0.172549,0,-0.0169688,0.000724597
0.5,0.176471,0,-0.01742,0.000768273
0.5,0.180392,0,-0.0178781,0.000814103
0.5,0.184314,0,-0.0183415,0.000862183
0.5,0.188235,0,-0.0188117,0.00091261
0.5,0.192157,0,-0.0192876,0.000965486
0.5,0.196078,0,-0.0197702,0.00102092
0.5,0.2,0,-0.0202588,0.00107901
0.5,0.203922,0,-0.0207541,0.00113987
0.5,0.207843,0,-0.0212555,0.00120362
0.5,0.211765,0,-0.0217636,0.00127037
0.5,0.215686,0,-0.0222779,0.00134025
0.5,0.219608,0,-0.022799,0.00141337
0.5,0.223529,0,-0.0233262,0.00148987
0.5,0.227451,0,-0.0238602,0.00156989
0.5,0.231373,0,-0.0244004,0.00165354
0.5,0.235294,0,-0.0249471,0.00174098
0.5,0.239216,0,-0.0255001,0.00183234
0.5,0.243137,0,-0.0260595,0.00192777
0.5,0.247059,0,-0.026625,0.00202742
0.5,0.25098,0,-0.0271967,0.00213144
0.5,0.254902,0,-0.0277744,0.00223998
0.5,0.258824,0,-0.0283581,0.00235319
0.5,0.262745,0,-0.0289476,0.00247124
0.5,0.266667,0,-0.0295428,0.00259428
0.5,0.270588,0,-0.0301435,0.00272248
0.5,0.27451,0,-0.0307495,0.002856
0.5,0.278431,0,-0.0313608,0.002995
0.5,0.282353,0,-0.0319769,0.00313967
0.5,0.286275,0,-0.0325978,0.00329015
0.5,0.290196,0,-0.0332231,0.00344664
0.5,0.294118,0,-0.0338528,0.0036093
0.5,0.298039,0,-0.0344862,0.0037783
0.5,0.301961,0,-0.0351234,0.00395383
0.5,0.305882,0,-0.0357638,0.00413603
0.5,0.309804,0,-0.0364074,0.0043251
0.5,0.313726,0,-0.0370533,0.00452119
0.5,0.317647,0,-0.0377017,0.00472448
0.5,0.321569,0,-0.0383517,0.00493513
