Points_0,Points_1,Points_2,vel1
0.5,0,0,0.022313
0.5,0.0182927,0,0.0282156
0.5,0.0304878,0,0.071155
0.5,0.0426829,0,0.0769046
0.5,0.054878,0,0.118003
0.5,0.0670732,0,0.123595
0.5,0.0792683,0,0.161767
0.5,0.0914634,0,0.170789
0.5,0.103659,0,0.201364
0.5,0.115854,0,0.21596
0.5,0.128049,0,0.241107
0.5,0.140244,0,0.256518
0.5,0.152439,0,0.279824
0.5,0.164634,0,0.294712
0.5,0.176829,0,0.316481
0.5,0.189024,0,0.330717
0.5,0.20122,0,0.351011
0.5,0.213415,0,0.364516
0.5,0.22561,0,0.383366
0.5,0.237805,0,0.396083
0.5,0.25,0,0.413505
0.5,0.262195,0,0.425382
0.5,0.27439,0,0.441379
0.5,0.286585,0,0.452372
0.5,0.298781,0,0.466939
0.5,0.310976,0,0.477005
0.5,0.323171,0,0.490128
0.5,0.335366,0,0.499225
0.5,0.347561,0,0.510884
0.5,0.359756,0,0.518966
0.5,0.371951,0,0.529131
0.5,0.384146,0,0.536148
0.5,0.396341,0,0.544777
0.5,0.408537,0,0.550672
0.5,0.420732,0,0.55771
0.5,0.432927,0,0.562409
0.5,0.445122,0,0.567776
0.5,0.457317,0,0.57118
0.5,0.469512,0,0.574754
0.5,0.481707,0,0.576699
0.5,0.493902,0,0.578266
0.5,0.506098,0,0.578266
0.5,0.518293,0,0.576699
0.5,0.530488,0,0.574754
0.5,0.542683,0,0.57118
0.5,0.554878,0,0.567776
0.5,0.567073,0,0.562409
0.5,0.579268,0,0.55771
0.5,0.591463,0,0.550672
0.5,0.603659,0,0.544777
0.5,0.615854,0,0.536148
0.5,0.628049,0,0.529131
0.5,0.640244,0,0.518966
0.5,0.652439,0,0.510884
0.5,0.664634,0,0.499225
0.5,0.676829,0,0.490128
0.5,0.689024,0,0.477005
0.5,0.701219,0,0.466939
0.5,0.713415,0,0.452372
0.5,0.72561,0,0.441379
0.5,0.737805,0,0.425382
0.5,0.75,0,0.413505
0.5,0.762195,0,0.396083
0.5,0.77439,0,0.383366
0.5,0.786585,0,0.364516
0.5,0.798781,0,0.351011
0.5,0.810976,0,0.330717
0.5,0.823171,0,0.316481
0.5,0.835366,0,0.294712
0.5,0.847561,0,0.279824
0.5,0.859756,0,0.256518
0.5,0.871951,0,0.241107
0.5,0.884146,0,0.21596
0.5,0.896341,0,0.201364
0.5,0.908537,0,0.170789
0.5,0.920732,0,0.161767
0.5,0.932927,0,0.123595
0.5,0.945122,0,0.118003
0.5,0.957317,0,0.0769046
0.5,0.969512,0,0.071155
0.5,0.981707,0,0.0282156
0.5,1,0,nan
