"Points:0","Points:1","Points:2","part_radius"
0,0,0,0.008
0,0,0,0.008
0,0,0,0.008
0,0,0,0.0080022
0,0,0,0.0080611
0,0,0,0.0082667
0,0,0,0.0085825
0,0,0,0.008926
0,0,0,0.0092593
0,0,0,0.0095896
0,0,0,0.0099421
0,0,0,0.010341
0,0,0,0.010803
0,0,0,0.011337
0,0,0,0.011948
0,0,0,0.012643
0,0,0,0.013425
0,0,0,0.0143
0,0,0,0.015272
0,0,0,0.016346
0,0,0,0.017523
0,0,0,0.018802
0,0,0,0.020181
0,0,0,0.021655
0,0,0,0.023215
0,0,0,0.024854
0,0,0,0.026562
0,0,0,0.028329
0,0,0,0.030142
0,0,0,0.031989
0,0,0,0.033858
0,0,0,0.035737
0,0,0,0.037612
0,0,0,0.039472
0,0,0,0.041304
0,0,0,0.043094
0,0,0,0.044831
0,0,0,0.0465
0,0,0,0.048089
0,0,0,0.049584
0,0,0,0.050971
0,0,0,0.052235
0,0,0,0.053361
0,0,0,0.054332
0,0,0,0.05513
0,0,0,0.055736
0,0,0,0.056127
0,0,0,0.056281
0,0,0,0.056166
0,0,0,0.055749
0,0,0,0.054987
0,0,0,0.053827
0,0,0,0.052197
0,0,0,0.049999
0,0,0,0.047089
0,0,0,0.043233
0,0,0,0.037995
0,0,0,0.03033
0,0,0,0.01515
0,0,0,0.013295
0,0,0,0.016117
0,0,0,0.016163
0,0,0,0.013546
0,0,0,0.0039553
0,0,0,0.010723
0,0,0,0.011633
0,0,0,0.0086801
0,0,0,0.0062079
0,0,0,0.0089152
0,0,0,0.00717
0,0,0,0.0056975
0,0,0,0.0072957
0,0,0,0.0060442
0,0,0,0.0061528
0,0,0,0.006525
0,0,0,0.0059664
0,0,0,0.0062713
0,0,0,0.0062264
0,0,0,0.0061192
0,0,0,0.0062567
0,0,0,0.0062008
0,0,0,0.0062293
0,0,0,0.0062785
0,0,0,0.0062795
0,0,0,0.0063279
0,0,0,0.0063723
0,0,0,0.0064091
0,0,0,0.0064646
0,0,0,0.0065238
0,0,0,0.0065842
0,0,0,0.0066571
0,0,0,0.0067348
0,0,0,0.0068199
0,0,0,0.0069133
0,0,0,0.0070174
0,0,0,0.0071292
0,0,0,0.0072525
0,0,0,0.0073875
0,0,0,0.0075353
0,0,0,0.0076975
0,0,0,0.0078755
0,0,0,0.008071
0,0,0,0.0082866
0,0,0,0.0085254
0,0,0,0.0087902
0,0,0,0.0090845
0,0,0,0.0094127
0,0,0,0.0097798
0,0,0,0.010192
0,0,0,0.010656
0,0,0,0.011179
0,0,0,0.011769
0,0,0,0.012433
0,0,0,0.013181
0,0,0,0.014018
0,0,0,0.014953
0,0,0,0.015988
0,0,0,0.017128
0,0,0,0.018372
0,0,0,0.019718
0,0,0,0.02116
0,0,0,0.022694
0,0,0,0.02431
0,0,0,0.025998
0,0,0,0.027747
0,0,0,0.029547
